,Station number,Station name,lon,lat
103,31298,15th & M St NW,-77.0346763,38.9054318
104,31639,2nd & G St NE,-77.0036683,38.8996778
105,31614,11th & H St NE,-76.991383,38.8999827
106,31118,3rd & Elm St NW,-77.0159723,38.9176298
107,31093,21st St N & N Pierce St,-77.0783193,38.8989918
108,31050,Barton St & 10th St N,-77.08777,38.8849607
109,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.0465583,38.8841284
110,31635,Potomac Ave & 8th St SE,-76.9944703,38.8767448
111,31124,14th & Irving St NW,-77.0322263,38.9285598
112,31090,Long Bridge Dr & 6th St S,-77.0500323,38.8655608
113,31417,Kansas Ave & Sherman Cr NW,-77.0214693,38.9480648
114,31284,18th & C St NW,-77.0415463,38.8935188
115,31212,21st & M St NW,-77.0467762,38.9053609
116,31616,3rd & H St NE,-77.0019335,38.9003995
117,31288,4th St & Madison Dr NW,-77.0172553,38.8905008
118,31121,Calvert St & Woodley Pl NW,-77.0501,38.9235997
119,31321,15th St & Constitution Ave NW,-77.0332363,38.8922518
120,31646,Maine Ave & 9th St SW,-77.0252383,38.8804478
121,31267,17th St & Massachusetts Ave NW,-77.0383613,38.9081498
122,31295,Potomac & M St NW,-77.0651513,38.9053758
123,31064,Gravelly Point,-77.0395133,38.8650368
124,31246,M St & Pennsylvania Ave NW,-77.056887,38.9051257
125,31107,Lamont & Mt Pleasant NW,-77.0387453,38.9319014
126,31647,7th St & Massachusetts Ave NE,-76.9960223,38.8922278
127,31307,3000 Connecticut Ave NW / National Zoo,-77.055599,38.9302817
128,31803,Good Hope Rd & 14th St SE,-76.985238,38.8666107
129,31230,Metro Center / 12th & G St NW,-77.027869,38.8983637
130,31025,Central Library / N Quincy St & 10th St N,-77.10783,38.8839697
131,31504,10th & Monroe St NE,-76.992889,38.9325137
132,31251,12th & L St NW,-77.0284,38.9038187
133,31609,Maine Ave & 7th St SW,-77.0230563,38.8787018
134,31201,15th & P St NW,-77.034438,38.9098497
135,31607,13th & E St SE,-76.9879093,38.8829228
136,31120,10th & Florida Ave NW,-77.0256743,38.9203948
137,31204,20th & E St NW,-77.045018,38.8963209
138,31412,3rd St & Riggs Rd NE,-77.0022413,38.9574708
139,31914,Lee Center,-77.0537683,38.7975648
140,31308,39th & Veazey St NW,-77.077078,38.9438367
141,31018,N Rhodes & 16th St N,-77.079375,38.8921637
142,31910,Potomac Ave & Main Line Blvd,-77.0492673,38.8227458
143,31641,2nd St & Massachusetts Ave NE,-77.0031373,38.8949798
144,31619,Lincoln Park / 13th & East Capitol St NE ,-76.988355,38.8904607
145,31804,Anacostia Library,-76.9784,38.8657821
146,31257,22nd & I St NW / Foggy Bottom,-77.0489559,38.9008797
147,31037,Ballston Metro / N Stuart & 9th St N,-77.111768,38.8810437
148,32024,Fenton St & Gist Ave,-77.0238563,38.9897318
149,31275,New Hampshire Ave & 24th St NW,-77.0510863,38.9017628
150,31407,14th St & Colorado Ave NW,-77.0329493,38.9564398
151,31032,Washington Blvd & 7th St N,-77.091129,38.8808337
152,31918,Madison & Fairfax St,-77.0406933,38.8123588
153,31500,4th & W St NE,-77.0006503,38.9190848
154,31014,Lynn & 19th St North,-77.070993,38.8973147
155,31634,3rd & Tingey St SE,-77.0024023,38.8750178
156,31653,7th & K St NW,-77.0213943,38.9026818
157,31917,N Lynn St & Fairfax Dr,-77.0708643,38.8938678
158,31080,Lee Hwy & N Scott St,-77.0808533,38.8976198
159,31915,Powhatan St & Bashford Ln,-77.0477853,38.8187558
160,31059,S Four Mile Run & Walter Reed Dr,-77.0954333,38.8473678
161,31036,George Mason Dr & Wilson Blvd,-77.1207,38.8788697
162,31255,24th & N St NW,-77.05152,38.9065997
163,32205,Westpark & Jones Branch Dr,-77.2176664,38.9244448
164,31249,Jefferson Memorial,-77.037413,38.8798187
165,31902,Wilson Blvd & N Illinois St ,-77.1271337,38.8765327
166,31522,2nd St & Seaton Pl NE,-77.0035623,38.9147588
167,31294,7th & E St SW,-77.0217433,38.8834578
168,31273,Hains Point/Buckeye & Ohio Dr SW,-77.0302323,38.8784408
169,31069,Pershing & N George Mason Dr,-77.1079083,38.8718298
170,31109,7th & T St NW,-77.0222,38.9154997
171,31243,4th & C St SW,-77.0177033,38.8863798
172,32074,Twinbrook Metro,-77.1207783,39.0620488
173,31645,6th & K St NE,-76.9984073,38.9028848
174,31650,1st & M St SE,-77.0060743,38.8769008
175,31604,3rd & H St NW,-77.0152913,38.8994158
176,31502,John McCormack Dr & Michigan Ave NE,-76.9955,38.9345997
177,32011,Maple & Ritchie Ave,-77.0063133,38.9836348
178,31525,Trinidad Rec Center,-76.9832233,38.9063068
179,31318,Connecticut Ave & Yuma St NW,-77.0651173,38.9471638
180,32045,Shady Grove Metro West,-77.1660953,39.1197728
181,31521,18th & Monroe St NE,-76.9795193,38.9329378
182,31601,19th & East Capitol St SE,-76.9769,38.8895997
183,31657,Massachusetts Ave & 6th St NE,-76.9982753,38.8929418
184,31287,10th St & L'Enfant Plaza SW,-77.0260123,38.8843308
185,31644,12th St & Pennsylvania Ave SE,-76.9901233,38.8824968
186,31027,Key Blvd & N Quinn St,-77.078107,38.8960147
187,31038,Glebe Rd & 11th St N,-77.116817,38.8839207
188,31044,King St & Patrick St,-77.049883,38.8053167
189,31618,4th & East Capitol St NE,-77.000349,38.8899547
190,32048,Bethesda Metro,-77.0945393,38.9846988
191,31047,Braddock Rd Metro,-77.0528103,38.814579
192,31233,17th & K St NW / Farragut Square,-77.038322,38.9020607
193,31297,Virginia Ave & 25th St NW,-77.0541573,38.8995078
194,31129,15th St & Pennsylvania Ave NW/Pershing Park,-77.0333823,38.8963578
195,31045,Commerce St & Fayette St,-77.05293,38.8056477
196,31106,Calvert & Biltmore St NW,-77.0476393,38.9232108
197,31801,Anacostia Metro,-76.9946988,38.86269
198,31031,15th & N Scott St,-77.08095,38.8905397
199,31293,31st & Water St NW,-77.0610453,38.9028218
200,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,-76.995397,38.8839997
201,31252,21st St & Pennsylvania Ave NW,-77.046564,38.9015387
202,31205,21st & I St NW,-77.047,38.9007997
203,31511,12th & Irving St NE,-76.9909573,38.9286518
204,31418,New Hampshire & Gallatin St NW,-77.0128103,38.9516038
205,31024,Virginia Square Metro / N Monroe St & 9th St N,-77.103148,38.8827877
206,31250,20th & L St NW,-77.044789,38.9035837
207,31016,Clarendon Blvd & Pierce St,-77.0763908,38.8933898
208,31052,Potomac Ave & 35th St S,-77.050537,38.8440147
209,31228,8th & H St NW,-77.0230731,38.8996552
210,31258,Lincoln Memorial,-77.0494718,38.8882644
211,31086,Mount Vernon Ave & E Del Ray Ave,-77.0585693,38.8259996
212,32056,East West Hwy & 16th St,-77.0387233,38.9956888
213,31028,N Veitch & Key Blvd,-77.086045,38.8932407
214,31112,Harvard St & Adams Mill Rd NW,-77.043358,38.9278717
215,31637,North Capitol St & G Pl NE,-77.0089272,38.8997546
216,31271,Constitution Ave & 2nd St NW/DOL,-77.0139193,38.8922828
217,31262,11th & F St NW,-77.0269125,38.8978565
218,31222,New York Ave & 15th St NW,-77.0337403,38.899214
219,31089,Court House Metro / 15th & N Uhle St ,-77.0848299,38.8905607
220,31633,Independence Ave & L'Enfant Plaza SW/DOE,-77.0257643,38.8873198
221,31221,18th & M St NW,-77.041606,38.9047417
222,31320,Nebraska Ave/AU East Campus,-77.0871578,38.9362317
223,31100,19th St & Pennsylvania Ave NW,-77.0429,38.9002997
224,31256,10th & E St NW,-77.026064,38.8959137
225,31260,23rd & E St NW ,-77.0497479,38.8961214
226,31227,13th St & New York Ave NW,-77.029822,38.9002827
227,31208,M St & New Jersey Ave SE,-77.0037,38.8762997
228,31301,Ward Circle / American University,-77.087171,38.9387357
229,31242,18th St & Pennsylvania Ave NW,-77.0414518,38.8996557
230,32036,Fenton St & Ellsworth Dr ,-77.0256103,38.9970408
231,31209,1st & N St  SE,-77.0057,38.8742997
232,31642,New Jersey Ave & L St NW,-77.0139723,38.9036058
233,31514,Hamlin & 7th St NE,-76.9971963,38.9275048
234,31065,N Pershing Dr & Wayne St,-77.0859623,38.8807128
235,31219,10th St & Constitution Ave NW,-77.026013,38.8930277
236,31035,N Quincy St & Glebe Rd,-77.107735,38.8763927
237,31066,Columbia Pike & S Orme St,-77.0723173,38.8672698
238,32079,Executive Blvd & E Jefferson St,-77.1257023,39.0487378
239,31021,Clarendon Blvd & N Fillmore St,-77.09308,38.8880997
240,31507,1st & Washington Hospital Center NW,-77.012457,38.9287427
241,31272,Washington & Independence Ave SW/HHS,-77.0137713,38.8869858
242,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,-77.072305,38.8945997
243,31041,Prince St & Union St,-77.040366,38.8031382
244,32404,Perry & 35th St,-76.9600563,38.9362208
245,31026,Washington Blvd & 10th St N,-77.093485,38.8847337
246,31001,18th & Eads St.,-77.0533223,38.8572578
247,31023,Fairfax Dr & Wilson Blvd,-77.097745,38.8858007
248,31652,4th & M St SE,-77.0007383,38.8767588
249,31215,Georgetown Harbor / 30th St NW,-77.059219,38.9022207
250,31292,22nd St & Constitution Ave NW,-77.0489491,38.8924483
251,31010,S Glebe & Potomac Ave,-77.0502,38.8425997
252,31236,37th & O St NW / Georgetown University,-77.071652,38.9077397
253,31081,Duke St & John Carlyle St,-77.0608683,38.8043858
254,31224,19th & L St NW,-77.0438191,38.9033082
255,31274,10th & G St NW,-77.0262373,38.8982508
256,31822,Stanton Square SE,-76.9845143,38.8550118
257,32033,Piccard & W Gude Dr,-77.1770934,39.1022198
258,31060,S Arlington Mill Dr & Campbell Ave,-77.0895573,38.8423278
259,32040,Friendship Blvd & Willard Ave,-77.0886613,38.9611578
260,31924,Wilson Blvd & N Troy St,-77.0820913,38.8925638
261,31402,14th St Heights / 14th & Crittenden St NW,-77.032818,38.9477737
262,32207,Westpark & Park Run Dr,-77.2253964,38.9289268
263,31405,Georgia Ave & Emerson St NW,-77.0273353,38.9496698
264,31019,Wilson Blvd & N Edgewood St,-77.0925,38.8889997
265,32216,Library St & Freedom Dr,-77.3587434,38.9596408
266,32062,Wheaton Metro/Georgia Ave & Reedie Dr,-77.0510253,39.0383488
267,31300,Van Ness Metro / UDC,-77.063896,38.9445507
268,31515,Fort Totten Metro,-77.0027233,38.9523768
269,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,-77.1115323,38.8563268
270,32027,Battery Ln & Trolley Trail,-77.1001063,38.9923828
271,32013,Montgomery & East Ln,-77.0953693,38.9835328
272,32012,Silver Spring Metro/Colesville Rd & Wayne Ave,-77.0291823,38.9952178
273,31715,37th & Ely Pl SE / Fort Dupont Ice Arena,-76.9497113,38.8830188
274,31648,Potomac Ave & Half St SW,-77.0108393,38.8702088
275,31071,Eads St & 12th St S,-77.0542823,38.8627608
276,31707,Benning Rd & East Capitol St NE / Benning Rd Metro,-76.93723,38.8899347
277,32081,Congressional Ln & E Jefferson St,-77.1292373,39.0621978
278,31067,Columbia Pike & S Walter Reed Dr,-77.0866013,38.8624858
279,31704,Nannie Helen Burroughs & Minnesota Ave NE,-76.9422,38.9015997
280,32055,Woodmont Ave & Strathmore St,-77.0935174,38.9798727
281,32229,Park Run & Onyx Dr,-77.2266464,38.9275578
282,31315,McKinley St & Connecticut Ave NW,-77.0751373,38.9645518
283,31322,48th Pl & MacArthur Blvd NW,-77.0962923,38.9173118
284,32029,Offutt Ln & Chevy Chase Dr,-77.0945996,38.9770975
285,31313,Connecticut Ave & Tilden St NW,-77.0620383,38.9411618
286,31909,Mount Vernon Ave & Four Mile Run Park,-77.0640095,38.843419
287,31708,Anacostia Ave & Benning Rd NE / River Terrace ,-76.96012,38.8965437
288,31085,Mount Vernon Ave & E Nelson Ave,-77.0575951,38.8199908
289,32058,Sligo Ave & Carroll Ln,-77.0163133,38.9908818
290,31912,Mount Vernon Ave & Bruce St,-77.063026,38.8412976
291,31700,Good Hope & Naylor Rd SE,-76.9671599,38.8601483
292,31501,12th & Newton St NE,-76.991016,38.9336677
293,31317,Wisconsin Ave & Ingomar St NW,-77.0846383,38.9582748
294,31906,Commonwealth Ave & Oak St,-77.0617173,38.8127188
295,31051,Arlington Blvd & N Queen St,-77.077294,38.8893647
296,32002,Bethesda Ave & Arlington Rd,-77.0974283,38.9811108
297,31000,Eads St & 15th St S,-77.0532323,38.8589788
298,31411,Georgia & Missouri Ave NW,-77.0278573,38.9613468
299,31414,Georgia Ave & Piney Branch Rd NW,-77.0279783,38.9675128
300,31013,Eads & 22nd St S,-77.0534143,38.8543888
301,31907,Franklin & S Washington St,-77.0487023,38.7981408
302,32053,Medical Center Metro ,-77.0978843,38.9993858
303,32019,East West Hwy & Blair Mill Rd,-77.0293523,38.9902568
304,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,-77.0955983,38.8694258
305,32061,New Hampshire & Kirklynn Ave,-76.9884243,38.9881088
306,31309,Fessenden St & Wisconsin Ave NW,-77.082426,38.9548117
307,32014,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,-77.0860003,38.9617708
308,32078,Woodglen Dr & Executive Blvd,-77.1135023,39.0431778
309,31805,Pennsylvania & Minnesota Ave SE,-76.971015,38.8730567
310,32000,Norfolk Ave & Fairmont St,-77.0965413,38.9885698
311,31316,Yuma St & Tenley Circle NW,-77.0805923,38.9461898
312,32071,Corporate Blvd & Omega Dr,-77.1926474,39.1069788
313,32038,King Farm Blvd & Piccard Dr,-77.1826714,39.1103218
314,31096,S Walter Reed Dr & 8th St S,-77.0878723,38.8661278
315,31056,S Troy St & 26th St S,-77.0751063,38.8479848
316,31403,5th & Kennedy St NW,-77.0198163,38.9565638
